Atlético-GO,34,1.79770234,9,14
Atlético-MG,43,1.652703249,12,9
Atlético-PR,39,1.611883817,13,11
Avaí,25,1.980333796,7,16
Bahia,51,2.186432249,5,4
Botafogo,40,1.701883043,10,10
Chapecoense,44,1.464241251,17,8
Corinthians,51,2.715741835,1,4
Coritiba,36,1.674057934,11,12
Cruzeiro,50,2.349575943,3,5
Flamengo,57,2.232291211,4,2
Fluminense,46,1.44453383,18,7
Grêmio,56,1.564349653,14,3
Palmeiras,59,2.584915409,2,1
Ponte Preta,40,1.469255604,16,10
Santos,43,2.001135002,6,9
São Paulo,47,1.289567718,19,6
Sport,43,1.884526046,8,9
Vasco,35,1.515137839,15,13
Vitória,31,1.078524018,20,15
